2026-09-13 12:20:37,764 - INFO - Ingesting begin_inventory.csv in db
2026-09-13 12:29:01,834 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:29:02,455 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:29:03,188 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:29:03,833 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:29:04,526 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:29:05,153 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:29:05,846 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:29:06,479 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:29:07,150 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:29:07,778 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:29:08,466 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:29:09,086 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:29:09,786 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:29:10,414 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:29:11,099 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:29:11,816 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:29:12,497 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:29:13,124 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:29:13,812 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:29:14,439 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:29:15,149 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:29:15,802 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:29:16,491 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:29:17,129 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:29:17,813 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:29:18,454 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:29:19,122 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:29:19,802 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:29:20,485 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:29:21,175 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:29:21,870 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:29:22,500 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:29:23,193 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:29:23,810 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:29:24,492 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:29:25,121 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:29:25,807 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:29:26,440 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:29:27,163 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:29:27,752 - INFO - Loading sales with shape (25363, 14)
2026-09-13 12:29:28,100 - INFO - Ingesting vendor_invoice.csv in db
2026-09-13 12:29:28,112 - INFO - Loading vendor_invoice with shape (5543, 10)
2026-09-13 12:29:28,169 - INFO - Ingestion Completed
2026-09-13 12:29:28,169 - INFO - Total Time Taken: 3.650561026732127 minutes
2026-09-14 19:05:17,225 - INFO - Creating Vendor Summary Table....
2026-09-14 19:06:56,079 - INFO -    VendorNumber                   VendorName  ...  TotalExciseTax FreightCost
0          1128  BROWN-FORMAN CORP            ...       260999.20    68601.68
1          4425        MARTIGNETTI COMPANIES  ...       294438.66   144929.24
2         17035  PERNOD RICARD USA            ...       343854.07   123780.22
3          3960  DIAGEO NORTH AMERICA INC     ...       368242.80   257032.07
4          3960  DIAGEO NORTH AMERICA INC     ...       249587.83   257032.07

[5 rows x 14 columns]
2026-09-14 19:06:56,120 - INFO - Cleaning Data...
2026-09-14 19:10:35,259 - INFO - Creating Vendor Summary Table....
2026-09-14 19:11:30,696 - INFO - Creating Vendor Summary Table....
2026-09-14 19:11:46,095 - INFO -    VendorNumber                   VendorName  ...  TotalExciseTax FreightCost
0          1128  BROWN-FORMAN CORP            ...       260999.20    68601.68
1          4425        MARTIGNETTI COMPANIES  ...       294438.66   144929.24
2         17035  PERNOD RICARD USA            ...       343854.07   123780.22
3          3960  DIAGEO NORTH AMERICA INC     ...       368242.80   257032.07
4          3960  DIAGEO NORTH AMERICA INC     ...       249587.83   257032.07

[5 rows x 14 columns]
2026-09-14 19:11:46,160 - INFO - Cleaning Data...
2026-09-14 19:12:49,309 - INFO -    VendorNumber                   VendorName  Brand              Description  \
0          1128  BROWN-FORMAN CORP             1233  Jack Daniels No 7 Black   
1          4425        MARTIGNETTI COMPANIES   3405    Tito's Handmade Vodka   
2         17035  PERNOD RICARD USA             8068         Absolut 80 Proof   
3          3960  DIAGEO NORTH AMERICA INC      4261   Capt Morgan Spiced Rum   
